Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4330,"Census Tract 4330, Alameda County, California",6001433000,140,0,6,1,21,,433000,0
Census Tract 4331.02,"Census Tract 4331.02, Alameda County, California",6001433102,140,0,6,1,21,,433102,0
Census Tract 4331.03,"Census Tract 4331.03, Alameda County, California",6001433103,140,0,6,1,21,,433103,0
Census Tract 4331.04,"Census Tract 4331.04, Alameda County, California",6001433104,140,0,6,1,21,,433104,4
Census Tract 4332,"Census Tract 4332, Alameda County, California",6001433200,140,0,6,1,21,,433200,0
Census Tract 4333,"Census Tract 4333, Alameda County, California",6001433300,140,0,6,1,21,,433300,0
Census Tract 4334,"Census Tract 4334, Alameda County, California",6001433400,140,0,6,1,21,,433400,0
Census Tract 4335,"Census Tract 4335, Alameda County, California",6001433500,140,0,6,1,21,,433500,0
Census Tract 4336,"Census Tract 4336, Alameda County, California",6001433600,140,0,6,1,21,,433600,0
Census Tract 4337,"Census Tract 4337, Alameda County, California",6001433700,140,0,6,1,21,,433700,0
Census Tract 4338,"Census Tract 4338, Alameda County, California",6001433800,140,0,6,1,21,,433800,0
Census Tract 4339,"Census Tract 4339, Alameda County, California",6001433900,140,0,6,1,21,,433900,0
Census Tract 4340,"Census Tract 4340, Alameda County, California",6001434000,140,0,6,1,21,,434000,0
Census Tract 4351.02,"Census Tract 4351.02, Alameda County, California",6001435102,140,0,6,1,21,,435102,0
Census Tract 4351.03,"Census Tract 4351.03, Alameda County, California",6001435103,140,0,6,1,21,,435103,0
Census Tract 4351.04,"Census Tract 4351.04, Alameda County, California",6001435104,140,0,6,1,21,,435104,5
Census Tract 4352,"Census Tract 4352, Alameda County, California",6001435200,140,0,6,1,21,,435200,0
Census Tract 4353,"Census Tract 4353, Alameda County, California",6001435300,140,0,6,1,21,,435300,0
Census Tract 4354,"Census Tract 4354, Alameda County, California",6001435400,140,0,6,1,21,,435400,0
Census Tract 4355,"Census Tract 4355, Alameda County, California",6001435500,140,0,6,1,21,,435500,0
Census Tract 4356.01,"Census Tract 4356.01, Alameda County, California",6001435601,140,0,6,1,21,,435601,0
Census Tract 4356.02,"Census Tract 4356.02, Alameda County, California",6001435602,140,0,6,1,21,,435602,0
Census Tract 4357,"Census Tract 4357, Alameda County, California",6001435700,140,0,6,1,21,,435700,0
Census Tract 4358,"Census Tract 4358, Alameda County, California",6001435800,140,0,6,1,21,,435800,0
Census Tract 4359,"Census Tract 4359, Alameda County, California",6001435900,140,0,6,1,21,,435900,0
Census Tract 4360,"Census Tract 4360, Alameda County, California",6001436000,140,0,6,1,21,,436000,0
Census Tract 4361,"Census Tract 4361, Alameda County, California",6001436100,140,0,6,1,21,,436100,0
Census Tract 4362,"Census Tract 4362, Alameda County, California",6001436200,140,0,6,1,21,,436200,0
Census Tract 4363,"Census Tract 4363, Alameda County, California",6001436300,140,0,6,1,21,,436300,6
Census Tract 4364.01,"Census Tract 4364.01, Alameda County, California",6001436401,140,0,6,1,21,,436401,1
Census Tract 4364.02,"Census Tract 4364.02, Alameda County, California",6001436402,140,0,6,1,21,,436402,0
Census Tract 4365,"Census Tract 4365, Alameda County, California",6001436500,140,0,6,1,21,,436500,0
Census Tract 4366.01,"Census Tract 4366.01, Alameda County, California",6001436601,140,0,6,1,21,,436601,0
Census Tract 4366.02,"Census Tract 4366.02, Alameda County, California",6001436602,140,0,6,1,21,,436602,0
Census Tract 4367,"Census Tract 4367, Alameda County, California",6001436700,140,0,6,1,21,,436700,0
Census Tract 4368,"Census Tract 4368, Alameda County, California",6001436800,140,0,6,1,21,,436800,0
Census Tract 4369,"Census Tract 4369, Alameda County, California",6001436900,140,0,6,1,21,,436900,0
Census Tract 4370,"Census Tract 4370, Alameda County, California",6001437000,140,0,6,1,21,,437000,0
Census Tract 4371.01,"Census Tract 4371.01, Alameda County, California",6001437101,140,0,6,1,21,,437101,0
Census Tract 4371.02,"Census Tract 4371.02, Alameda County, California",6001437102,140,0,6,1,21,,437102,0
